content,score
"anggaran doang gede, aplikasi pemerintah gak ada yang bagus... supaya apa bikin aplikasi terus padahal fungsinya sama aja, dikit-dikit bikin aplikasi tapi gak jelas!!! anggaran miliaran tapi isinya full bug!! au ah udah tobat gak mau ngomong kasyarr guwehhh🥲",1
"mau ganti nomor ponsel dah pilih kirim OTP ke email dan nomor baru tapi tetep dikirim kenomor lama padahal nomor lama status WAnya dah dialihkan kenomor baru, menyusahkan sekali metodenya.. tolong perbaiki",1
"mau donwload sertifikat vaksin aja susahnya minta ampun setiap di download coba lagi aja terus . mana untuk keperluan melamar kerja , malah mempersulit , bapuk bener bikin apk .!",1
sudah check up di puskesmas kelapa dua tangerang. pelayanan baik dan puskesmas nya nyaman. Bapak petugas di parkiran sangat membantu. hasil pemeriksaan yg agak lama di upload di satu sehat. kalau bisa diupayakan lebih cepat ya. sy waktu itu check up tgl 3 mei dan hasilnya baru muncul di satu sehat tgl 9 Mei. thanks,5
"Aplikasi tidak jelas dan belum siap. Sudah masukin email tp halaman tdk mau berganti, giliran sdh ganti ke halaman verifikasi malah menolak kode verif padahal itu kode yg benar. Aplikasi yg sangat menyulitkan tp wajib mengisi untuk kepentingan penerbangan.",1
"Aplikasinya gk bisa bisa jalan, di kementerian kan banyak orang pinter, atau malah keminter, knapa tidak bisa memperbaiki kendala seperti ini, menghambat pelayanan masyarakat",1
"Cara buat ganti nomor telp terdaftar kurang efektif, posisi nomor hangus, pilih yg e-mail dan wa ke nomor baru tapi tetap minta kode ke nomor yg akan diganti akhirnya ga bisa verif buat ganti nomor, terus buat apa kau kasih opsi kirim ke e-mail dan nomor wa baru? Dan pas ngecek ternyata sertifikat vaksin juga engga ada riwayatnya, ya salam, malah jadi ga guna aplikasinya 😶",1
"Aplikasinya penuh bug dan eror, logikanya ga jelas. Kebiasaan nih ga segera ada perbaikan. Masyarakat mau download sertifikat vaksin aja susahnya minta ampun gara2 mau login aja ga bisa. Tolong segera kasih solusi lain buat download sertifikat vaksin",1
"Sangat tidak membantu, ribet cara login, sudah daftar pakai email dan no hp tapi notifnya sudah terdftar, daftar pakai no baru notif sudah terdftar, saya sangat butuh sertifikat vaksin tapi aplikasi ini tidak bisa membantu.",1
"ini bagaimana ya, katanya email katanya belum terdaftar padahal dari aplikasi peduli lindungi pakai email tersebut, lalu dicoba buat akun baru pakai email yg sama katanya malah akun telah terdaftar, jadi solusinya bagaimana ya admin",2
"mau daftar akun saja susah sekali, pertama,menunggu kode verifikasi dikirim,tapi tidak dikirim².kedua, setelah dipencet untuk kirim ulang dan kode langsung terkirim,tetapi kodenya dimasukkan expired/tidak bisa,ini bagaimanaa???",1
"Untuk sekedar masuk akses aplikasinya pun sulit setengah mati, stuck di halaman 'Pilih Tema'. Tolong ditingkatkan lagi aplikasi nya",1
Halo satu sehat semoga ulasan ini dibaca saya sangat kesulitan akses karena nomor dan email yang terdaftar blokir dan saya sangat kesulitan untuk mengganti nomor karena harus bayar mahal untuk aktif kembali nomor terdaftar yang sudah blokir itu. Tolong direspon😭,4
"Aplikasinya harap diperbaiki. Saya mau masuk pakai email yg terdaftar. Setelah dikirimkan kode Verifikasi ke email saya yg terdaftar, aplikasi tidak masuk ke halaman kode Verifikasi dan setelah saya tunggu. Aplikasi tidak juga berganti ke halaman kode Verifikasi.",2
tambah semakin parah ini aplikasi. mau login aja susah amat. email udah bener udah dpt kode verifikasi. trus tampilan di app nya nggak ada tempat buat masukin kode verifikasinya. gimana mau loginnya. emang gak di tes dulu apa sebelum launching update nya. parah app pemerintah gak ada kemajuannya.,1
"tidak bisa login, habis masukkn email, klik masuk, dapat kode verifikasi via email, tetapi di aplikasi tidak tampilan tempat masukkan kode verifikasinya, kebanyakan cangkau ini buat aplikasinya",1
"aplikasinya tidak bisa digunakan, disuruh masukan identitas KTP tapi tertolak terus, alasannya kendala jaringan tapi kalau kita akses yg lain semua bisa. saran saya, kalau aplikasinya belum siap digunakan jangan dipaksakan untuk diterbitkan di play store.",1
"ijin KK kenapa ya saya log in ga bisa terus sama email , pas diklik ada pemberitahuan masukan kode digmail tp. pas mau masukin ko diaplikasinya ga muncul buat masukin kodenya Uda nyoba beberapa kali malah dicoba ke hp lain tetap aja ga bisa itu gimana ya",2
"admin, ini gimana, mau daftar, tapi kode verif ndak dikirim k wa, masukkan daftar ulang nomor ndak bisa dibilang sudah daftar. ndak bisa direset kah? mau daftar ckd lewat wa juga gangguan terus.",3
"KOCAK!! Cuma daftar buat nomor antrian mcu gratis, tapi ga jadi berangkat buat mcu ke puskesmas. Eh tiba-tiba kurleb 2 minggu dapet WA buat unduh hasil mcu yg dimana gak pernah ngelakuin MCU samsek.",1
disuruh masukan kode Verifikasi tapi tempat untuk memasukkan kode nggak muncul muncul. apk rusak kek gini kok di sarankan mulu oleh oknum oknum ya. mending di hps aja ini apk di play store gak guna juga kocak KEMENKES,1
"tidak bisa login. disuruh masukkan email dan sudah dpt email kode verifikasinya tp tempat input kodenya tidak ada, kembali lagi ke masukkan email dan dapat kode begitu aja terus ga kelar². payah. update: sudah menghubungi link tersebut, belum ada solusi.",1
busuk login email masih stuck. tidak bisa masuk karena nomer ganti dan beda dari ang lama. stuck nya pun jelek padahal tinggal masukin kode. ui nya kurang optimal,1
"bukannya makin maju malah makin error. mau masuk udah masukin email, kodenya sudah terkirim, tapi tampilan dari aplikasinya ini ga muncul buat masukin kode. KOCAK",1
"aplikasi hanya bolak-balik untuk mengisi pembaharuan data tetapi tidak bisa login. mau ubah pun tidak bisa, diulang bolak-balik juga tetap sama.",2
"Situs atau aplikasi pemerintah gk da yg becus.padahal anggaran gede dikorup dlu, ya bgini jdinya. Tidak bisa di akses, tdk bsa daftar, loading mulu. Data sdh digunakan pdhl blm prnah dftar.",1
"Aplikasi buruk, susah login sering eror, stack di menu login, parah sih emang dari dulu aplikasi buatan negara ini gak ada yang jelas.. IT nya gmna ini",1
"aplikasi nya tidak jelas, tidak bisa login cuma stak di masukan email/no dan suruh verif, sudh dpt kode verif tapi hanya stak di masukan email, tidak lanjut ke langkah selanjutnya",1
ikut pemeriksaan gratis.. eh di kirim aplikasi ini.. Masya Allah.. mau log-in ga bisa.. daftar baru katanya udh di daftar.. bikin emosi.. maaf ya pemerintah aku kasih bintang 1.. mohon di perbaiki..,1
"mau login( ""belum terdaftar"") daftar ulang ("" akun sudah terdaftar"") login lgi (""akun tidak terdaftar"") ga jelas kali ga fungsi, malah menyusahkan",1
"akun NIK/IDENTITAS orang tua saya sudah terdaftar, padahal saya baru donload aplikasinya, ortu saya gaptek..mau masuk gabisa harus verif ke email yang tidak di kenal, haduuuh pusing. gimana saran nya🙏",2
"kek nya rusak ini aplikasi saya susah masukin kode gmail yg benar ber kali-kali tapi tetep aja SALAH padahal udah bener kode nya, di ganti di ulang tetep aja salah ngak sehat ni aplikasi",1
"gimana ini min gabisa login? kode Verifikasi udah muncul beberapa kali di email, tapi tampilan masih stuck di login ga maju maju wkwk, ampas banget apk pemerintah",1
"aplikasi ga responsif, button susah diklik, search lokasi puskesmas ga nemu hasil. proses pendaftaran sulit",1
kenapa aplikasi yang berbau pemerintah bobrok terus ya? ada apa? kenapa selalu begini. tambah anggota keluarga tidak bisa (terjadi gangguan silahakn cb nnti). sinyal kencang pdhl dan baru install banyak mafianya. payah.. jujur dari nurani paling dalam..,1
apasih aplikasi nasional ko lemot minta ampunnnnn...sinyal bagus pindah wifi juga bagus TPI ko udh dapet verifikasi dri email tapi malah tampilan di aplikasi satu sehatnya ga loading² kocak masih di situ² aja ..tolong benerin lagi lah..mentang² udh ga Corona kah jadi ga ke urus gini aplikasi,1
"aplikasi aneh mau daftar pake e-ktp,udah isi nik ketika mau masuk malah error di memilih Thema,gmn ini pemeliharaan aplikasinya banyak error' mending BUBAR",1
"Orang IT dan pengembang apk gimna? ini aplikasi masih banyak BUG, PIN dan POLA sudah benar kok masih aja ga bisa masuk. Ada Tulisan PIN salah, padahal sudah benar PINnya, haduh",1
"buruk 👎gak bisa masuk padahal sudah dapat pin kode masuk dari gmail tapi dari app nya gak ada respon payah buang"" waktu lebih baik waktu peduli lindungi yang dulu",1
"Gak bisa log in, udah puluhan kali lewat email. Udah ngikutin faq, komplain di email, website, DM instagram, twitter, gak ada tanggapan. Padahal butuh datanya segera.",1
Sangat aneh untuk mengubah pin di perlukan kode verifikasi dari email tetapi sudah di masukan kode verifikasi dari email malah tidak cocok atau kode verifikasi salah tolong lah developer nya jangan mempersulit,1
"Ini kalo email lama udh gaada dan no hp lama udh ga aktif, dan alhasil gak bisa login. Padahal butuh sertifikat vaksin yg penting buat daftar pekerjaan. Apa ada solusinya?",2
tolong pemerintah gimana mau di gunakan aplikasinya error terus udah login tulisannya selalu terjadi gangguan klik halaman help desk sedangkan butuh sertifikat vaksinnya,1
"aplikasinya nda bisa login, dibagian masukkan email tidak bisa, cuman ada notif kode verifikasi yg masuk ke email tapi tidak jelas mau di isi dimana.",1
"Terima kasih, dengan cek secara geratis bermanfaat, karena kita bisa tahu kondisi kesehatan kita normal/ buruk. bisa mengurangi pengeluaran kalau bayar biaya nya banyak 🙏🙏tetap semangat dan sehat selalu. Aamiin...",4
"Aplikasi tidak bisa diakses, berulang kali ingin ganti pin karena lupa pin tapi hanya bolak balik di laman profil data diri karna diminta mengganti email atau nomor telpon, sudah diganti tidak ada kelanjutan opsi hanya memuat halaman data diri saja tanpa pernah memuat beranda dsb jadi tidak pernah tau tampilan aplikasi ini dan fungsinya",1
"Stuck di verifikasi ngelag ga bisa masuk.. apa mungkin internetnya ga stabil? Tapi saya buka halaman lain lancar2 saja.. suruh balik lagi masukin data. Sudah masukin data katanya sudah percobaan login beberapa kalo suruh coba lagi nanti. Bingung, lihat review aplikasinya dulu siapa tw dapat pencerahan, hmmmm.. ternyata banyak juga problem yg sama seperti saya. Kalo ga butuh, males download app dari pemerintah... karna sudah tw pasti kayak gini.. tolong pemerintah buat aplikasi yg matang dulu..",2
"Aplikasi nya tidak siap, banyak bug nya, mulai dari tiket yang sudah di daftarkan tiba2 hilang, ngomongnya kesalahan data, udah pilih tema ngomongnya anda belum pilih tema, dana buat bikin aplikasi di korupsi yang gini ini, bukannya malah membantu, malah menyusahkan, tipikal aplikasi pemerintah",1
"Hadeuh malah stack di pemilihan tema, gimana sih ini udah di hapus cache dan data masih aja stack di pemilihan tema. ribet amat. Alhamdulillah sudah bagus sekarang",5
"saya sudah vaksin dosis 1&2 dengan benar,sebelum apk di update saya msh bisa liat hsl kartu vaksin saya sudah ada di apk,tapi pas habis apk di update malah hilang semua data nya 🤦",1
"aplikasi Makin ribet udah jelas vaksin sampe booster, pas di cek status belum vaksin. belum lagi mau verifikasi udah jelas nik benar malah dianggap salah terus. udah nggak kayak dulu lagi ni aplikasi kocakk",1
tolong ya kenapa pas diakses data vaksinnya tidak ada padahal udah booster 3x. ini tolong di update lagi aplikasinya. Terimakasih,2
"kenapa sertifikat nya ga muncul padahal saya udh vaksin, semenjak jadi satusehat sertifikat nya gaada, jadi susah padahal penting untuk persyaratan kerja, perbaiki dong",1
buruk sekali aplikasinya... mau melengkapi data profil tidak bisa diisi / diubah / konfirmasi,1
mf semenjak ini aplikasinya data saya hilang login dgn nomor yg sama email yg sama ttp gk bisa. solusinya gimna ini slalu lh d prsulit smua.,3
"ga banget aplikasinya lelet, mau daftar tapi gabisa diketik pilihan jenis kelaminnya sampe kesel sendiri saya!!!",1
"kenapa ketika log in menggunakan email tidak muncul untuk memasukkan kode verifikasi, sedangkan mau daftar lagi menggunakan nomor hp tidak bisa? terus gimana caranya mau masuk ke akun",1
"kenapa surat vaksin aku tiba-tiba ga ada ya ""belum terdaftar vaksin"" padahal pas awal masuk ada, tadinya ga mau aku print karena di sana juga tersimpan pas aku buka lagi cek tadi eh ga ada",3
"satu sehat kenapa beda data diri profil dengan yang di web ya? no KTP saya beda, coba dirubah gak bisa2, udah kirim data perubahan ke link yang diberi namun belum diproses2 dari pagi tadi",3
"saya sich tidak bermasalah waktu melakukan pendaftaran saat mempergunakan aplikasi cek kesehatan gratis ini, cuma sampai di puskesmas mesti mengisi aplikasi dan menunggu lagi",5
"saya minta tolong bagaimana caranya, daftar/masuk ke aplikasi SATU SEHAT Karena no./email yang telah terdaftar hilang",1
"Aplikasinya ""Gangguan"" terus dan tidak cepat aksesnya plus databased yang digunakan tidak update. Sangat memalukan untuk applikasi milik instansi negara",1
"Sudah pernah mendaftar tapi pas login muncul notif email belum terdaftar, pas coba daftar dengan email yang sama, muncul notif email sudah terdaftar. Coba login menggunakan fitur di aplikasi yg sinkron dengan identitas kependudukan digital, 3 kali ku coba sampe habis kuota login. Hai kemenkes, gimana nanti klu sudah berjalan untuk cek kesehatan gratis nya, aku warga indonesia loh. Syarat mu harus daftar lewat aplikasi ini buat ribet tau.",1
"mau login ribet banget ga bisa2, pake nomer/email ga bisa. pinnya juga apalagi gatau (dulu gaada keknya cuman kata kunci). mau bikin akun baru juga katanya udah terdaftar tapi mau login aja susah. entah captcha salah atau apalah. padahal mau download sertifikat vaksin buat kerja. dicoba berulang-ulang juga nanti akun disuspend ah elah.",1
"admin tolong lah saya mau masuk gak bisa ini ngestuck di loading mulu tiap kali masukin email , yang ada malah dapat peringatan terlalu banyak mencoba",1
"Kebiasaan pemerintah aplikasi jauh dari sepurna,systemnya payah. Kalu belum siap bikin aplikasi jangan bikin,cuma buang anggaran,saya belum pernah daftar tapi pas masukan email kererangan email,no hp sudah terdaftar coba masukan email tsb ketetangan email belum terdaftar,,niat ga sih menghadirkan aplikasi ini.daftar aja sulit",1
"Kenapa aplikasi buatan pemerintah rata rata tidak pernah bisa diandalkan?, kalau tidak niat buat aplikasi tidak usah buat, menghubungkan data ke IKD aja susah, data yang dimasukkan sudah benar semua , tapi selalu salah keterangan nya, selalu komen di play store keluar kata kata mutiara "" Mohon Maaf"" hanya kata itulah yang bisa diandalkan , tanpa perlu ada perbaikan, masyarakat yang mengeluh ke sini disuruh lagi dialihkan mengirim pesan melalui email, harusnya kalau di komen ada perbaikan !",1
"tidak dapat akses untuk lihat hasil rapot ckg. sudah hub wa helpdesk, ternyata hanya bot, payah. sangat tidak membantu.",2
DAFTAR: akun anda sudah terdaftar MASUK: No hp anda tidak terdaftar VERIFIKASI: data anda tidak valid jadi maunya kalian gimana?,1
"Masa setelah pengisian email, bukannya langsung ke mode otp, malah diem aja stuck di halaman login, tapi tiba2 ada email masuk ngasih tau nomor otp. Yah buat apa gitu kan? Ngasih nomor otp, tapi gabisa ke halaman pengisian otp.",1
mau masuk aja susahnya minta ampun... sampai sekarang pun susah masuk. lupa pin verivikasinya tidak cocok terus. malah gangguan sistem.... hadeeeeh....,1
"Dulu uda pernah log in, data udah bener. Terus krn satu dan lain hal apa.nya aku uninstall. Kemarin pas download dan log in lagi gg tau gimana kok bisa NIK, tgl sama bulan lahir bisa salah, mana salahnya jauh banget dari bulan februari hadi november. Uda coba diedit tapi gg bisa. Uda ngajuin keluhan juga tapi belum ada tanggapan. Ini gimana harusnya",2
"ini gimna si aplikasinya, mau edit info profil aja muter mulu ga bisa"", tolong dong perbaiki sistemnya!",1
"sistem nya aneh, udh masukin verif dari email sesuai tapi bacaan nya pin belum sesuai hadehh gini amat apk pemerintah, mau cek serti vaksin doang ribet amat ga bisa di login, email dan angka verif nya udh bener pdhl",1
"minta tolong edit profilenya di benahi, di klik edit langsung blank. butuh banget kk buat daftar test kesehatan gratis buat lansia...asap",1
saya tadi udh verifikasi ke Faskes 1 udh ada di tulisan nya Valid. kok di Applikasi di profil saya blm terverifikasi terus hasil /resume kesehatan ya blm ada :( lemot dech,3
"sebelum update, sertifikat hasil vaksin ada semua mulai dosis 1,2 sampai boster. kenapa setelah update jadi ilang datanya. Malah muncul keterangan intinya belum vaksin hadeuhhhh ...",1
"wah aplikasi pemerintah ini sangat canggih sekalii, sangking canggihnya yang tadinya namanya peduli lindungi ada sertifikat vaksin setelah menjadi satu sehat tidak ngelink sama sekali. bahkan tulisannya belum vaksin dan akun belum terverifikasi. padahal dulu pake peduli lindungi langsung ngelink dengan NIK. bagus sih. proyek berapa M ya ini sampai MEMUDAHKAN RAKYAT sekali dalam proses akses data kependudukanmya sendiri contohnya SERTIFIKAT VAKSIN. Terima kasih yaa.. Saya sebagai rakyat KECEWA",1
"kenapa ya tampilan profil saya tiba"" hilang, data"" juga di profil semua ilang mau di ubah gak bisa di klik. tolong bantuan nya",1
parah sih udh bwt jadwal CGK 20 hari yg lalu dan dipilih hari sabtu karena ada jadwalnya di aplikasi tapi pas hari H datang ke puskesmas yg dipilih ga bisa karena hanya sampai hari jumat.,1
aplikasinya rusak yang sebelumnya yang lebih akurat malah di perbarui jd data vaksin saya hilang g mana dong gemana ini data pribadi saya ko di uba sama milik orang lain kecewa sekali,1
"Kementrian tapi gak becus buat aplikasi , mau login susah , kode email benar tp slalu gagal , mending gausah buat aplikasi , bodoh",1
Aplikasi belum update informasi terbaru pengguna. untuk akses aplikasinya sangat sangat sangaaaaaaat loading 🥲 ya ampun 😌,3
kepada developer yang terhormat saya ingin menyampaikan bahwa saya ingin mengunduh sertifikat vaksin tetapi tidak bisa di unduh mohon perbaiki lagi aplikasi nya soal nya penting banget sertifikat vaksin nya,3
"Mohon sistem diperbaiki. Saya ganti no hp, shg ga bs masuk akun itu lg dan skrg ga bs ikut cek up gratis. Email dan NIK sama tp krn hrs verifikasi di HP jd ga bs. Tlg buat verifikasi bisa dilakukan di email atau no HP saja.",1
"Mau unduh sertifikat vaksin kok gak bisa2,sudah berulang X. Padahal butuh untuk melamar pekerjaan. Kenapa dipersulit untuk download sertifikat nya. Mohon penyedia layanan Aplikasi untuk mempermudah segala akses untuk Rakyat ni. Ini Aplikasi pemerintah kok ribet sekali🙏🙏🙏",2
"Tidak bisa login email pakai aplikasi. Sedangkan pakai chrome bisa, dan email terverifikasi. Sudah chat pihak developer tp tidak ada balasan. Apa fungsi dari menu hub pihak develov yg ada di aplikasi??? Gara2 ini nama saya tidak bisa masuk renbuss..🤦",1
aplikasi banyak bug. ini gmn solusi edit profil jenis kelamin ga bisa di klik udah ulang 10x,1
"Aplikasi ini aneh yah..udah download, terus daftar,, keterangan nya udah terdaftar,, trus masuk login.. email nya kata nya brmasalah,, pake no hp , no hp nya brmasalah... Udah lah hapus aja,, dri pada bingung,",1
"kaga aplikasi nya, kaga yang buatnya sama sama sehat ... baru log in aja ga pindah halaman, kenapa aplikasi begini bisa lolos playstore ya",1
"AKUN HILANG, dulu login pakai nik dan sekarang login pakai email akun jadi hilang karena tidak bisa login pakai nik lagi, sms link sertifikat juga sudah tidak bisa dibuka karena server hangus",1
"Aplikasi ga berguna, email sudah diinput, kode verifikasi juga sudah masuk, tapi laman di aplikasi masih menunjukkan input email bukannya masukin kode",1
